# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 66K of event 'cycles:P'
# Event count (approx.): 62401597400
#
# Overhead  Command          Shared Object                                        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  ...................................................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.07%  mediapipe/39526  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_igemm_minmax_ukernel_5x16__fma3_broadcast_prfm
     0.07%  python           [unknown]                                            [k] 0xffffffff8e40609e
     0.07%  python           libpython3.10.so.1.0                                 [.] _PyDict_GetItem_KnownHash
     0.07%  python           libpython3.10.so.1.0                                 [.] lookdict_split
     0.07%  python           [unknown]                                            [k] 0xffffffffc0fb7c8c
     0.07%  python           libpython3.10.so.1.0                                 [.] PyUnicode_New
     0.07%  python           libpython3.10.so.1.0                                 [.] PyUnicode_FromFormatV
     0.07%  python           libQt5Gui-1ce8cbfe.so.5.15.16                        [.] 0x00000000003c2a24
     0.07%  python           libpython3.10.so.1.0                                 [.] _PyFrame_New_NoTrack
     0.07%  python           [unknown]                                            [k] 0xffffffff8f4ea1fa
     0.07%  python           libswscale-95ddd674.so.6.7.100                       [.] 0x000000000007c9de
     0.07%  python           libswscale-95ddd674.so.6.7.100                       [.] 0x000000000007c9e2
     0.07%  python           libpython3.10.so.1.0                                 [.] _PyEval_Vector
     0.06%  python           libswscale-95ddd674.so.6.7.100                       [.] 0x000000000007c9e6
     0.06%  python           libswscale-95ddd674.so.6.7.100                       [.] 0x000000000007c8fc
     0.06%  mediapipe/39532  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_igemm_minmax_ukernel_5x16__fma3_broadcast_prfm
     0.06%  mediapipe/39528  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_igemm_minmax_ukernel_5x16__fma3_broadcast_prfm
     0.06%  python           libpython3.10.so.1.0                                 [.] _PyDict_LoadGlobal
     0.06%  python           libpython3.10.so.1.0                                 [.] dict_dealloc
     0.06%  python           [unknown]                                            [k] 0xffffffff8f4ea1d8
     0.06%  python           libswscale-95ddd674.so.6.7.100                       [.] 0x000000000007ca00
     0.06%  python           libc.so.6                                            [.] malloc
     0.06%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000327ed0
     0.06%  python           libswscale-95ddd674.so.6.7.100                       [.] 0x000000000007c9b2
     0.06%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000327ee6
     0.06%  mediapipe_gl_ru  [unknown]                                            [k] 0xffffffffc0fb7c8c
     0.06%  python           libpython3.10.so.1.0                                 [.] _PyObject_MakeTpCall
     0.06%  python           ld-linux-x86-64.so.2                                 [.] _dl_relocate_object
     0.06%  python           libpython3.10.so.1.0                                 [.] _PyObject_GC_Malloc
     0.06%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000327ed8
     0.06%  python           libswscale-95ddd674.so.6.7.100                       [.] 0x000000000007c8e8
     0.06%  mediapipe/39535  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_igemm_minmax_ukernel_5x16__fma3_broadcast_prfm
     0.06%  python           libpython3.10.so.1.0                                 [.] PyType_IsSubtype
     0.06%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000321c21
     0.06%  python           libswscale-95ddd674.so.6.7.100                       [.] 0x000000000007c9ee
     0.06%  python           libswscale-95ddd674.so.6.7.100                       [.] 0x000000000007c9ea
